Array_No,Type,Size,Comparisons,Swaps
853,S,206,1693,769
854,S,206,1544,721
855,S,206,1402,630
856,S,206,1561,712
857,S,206,1535,610
858,S,206,1467,705
859,A,206,21115,0
860,D,206,18543,114
AVG,AVG,206,5205.5,566.9
861,S,541,4865,2263
862,S,541,5959,3296
863,S,541,4998,2145
864,S,541,5072,2052
865,S,541,5345,2482
866,S,541,5029,2013
867,S,541,5407,1899
868,S,541,5243,2421
869,A,541,146070,0
870,D,541,116890,310
AVG,AVG,541,30487.8,1888.1
871,S,638,6567,2893
872,S,638,6928,3475
873,S,638,6629,2815
874,S,638,6199,2922
875,S,638,6288,3218
876,S,638,6002,2454
877,S,638,6437,3095
878,S,638,6762,3268
879,A,638,203203,0
880,D,638,150139,376
AVG,AVG,638,40515.4,2451.6
881,S,268,2112,891
882,S,268,2645,939
883,S,268,2041,792
884,S,268,2262,1056
885,S,268,2112,817
886,S,268,2207,990
887,S,268,2577,1282
888,S,268,2181,1013
889,A,268,35778,0
890,D,268,31390,148
AVG,AVG,268,8530.5,792.8
891,S,997,11557,6010
892,S,997,11877,4722
893,S,997,11224,5234
894,S,997,10981,5498
895,S,997,9983,4654
896,S,997,11839,4966
897,S,997,11011,4320
898,S,997,10551,4196
899,A,997,496506,0
900,D,997,330394,621
AVG,AVG,997,91592.3,4022.1
901,S,443,4173,2249
902,S,443,4291,1842
903,S,443,4399,2208
904,S,443,4216,1795
905,S,443,4279,1815
906,S,443,3846,1874
907,S,443,3752,1896
908,S,443,3887,1512
909,A,443,97903,0
910,D,443,81287,252
AVG,AVG,443,21203.3,1544.3
911,S,838,9313,4667
912,S,838,10544,4185
913,S,838,8580,4673
914,S,838,8968,4151
915,S,838,8489,3595
916,S,838,8590,4051
917,S,838,8442,4063
918,S,838,9777,4476
919,A,838,350703,0
920,D,838,242474,511
AVG,AVG,838,66588,3437.2
921,S,76,606,207
922,S,76,406,161
923,S,76,462,210
924,S,76,470,176
925,S,76,423,175
926,S,76,493,289
927,S,76,414,206
928,S,76,396,177
929,A,76,2850,0
930,D,76,2740,39
AVG,AVG,76,926,164
931,S,770,9156,3704
932,S,770,7231,3076
933,S,770,8051,3166
934,S,770,8435,3482
935,S,770,8021,3406
936,S,770,8576,3309
937,S,770,7446,3163
938,S,770,8754,4044
939,A,770,296065,0
940,D,770,212995,468
AVG,AVG,770,57473,2781.8
941,S,641,6210,3083
942,S,641,6046,2645
943,S,641,6117,2788
944,S,641,7534,3682
945,S,641,6504,2678
946,S,641,6059,2789
947,S,641,7642,4203
948,S,641,6107,3128
949,A,641,205120,0
950,D,641,158529,380
AVG,AVG,641,41586.8,2537.6
951,S,875,9519,3724
952,S,875,8904,3959
953,S,875,9075,4881
954,S,875,9859,4109
955,S,875,9738,4151
956,S,875,8749,3992
957,S,875,9564,3375
958,S,875,8189,3412
959,A,875,382375,0
960,D,875,268548,534
AVG,AVG,875,72452,3213.7
961,S,886,9674,3856
962,S,886,9394,4175
963,S,886,10516,4306
964,S,886,9454,4645
965,S,886,9526,4126
966,S,886,9973,4045
967,S,886,9676,4654
968,S,886,9030,3679
969,A,886,392055,0
970,D,886,281121,526
AVG,AVG,886,75041.9,3401.2
971,S,322,2766,1235
972,S,322,3032,1252
973,S,322,2869,1268
974,S,322,3023,1086
975,S,322,2855,1231
976,S,322,2900,1535
977,S,322,3172,1332
978,S,322,3155,1259
979,A,322,51681,0
980,D,322,44557,179
AVG,AVG,322,12001,1037.7
981,S,736,6893,3100
982,S,736,7738,3726
983,S,736,7057,3390
984,S,736,7063,2884
985,S,736,7403,3057
986,S,736,7301,2857
987,S,736,6974,3158
988,S,736,7570,3343
989,A,736,270480,0
990,D,736,191647,444
AVG,AVG,736,52012.6,2595.9
991,S,700,7298,2770
992,S,700,7057,3109
993,S,700,8150,4100
994,S,700,7557,4033
995,S,700,7479,3578
996,S,700,7290,3187
997,S,700,6945,3209
998,S,700,6486,2765
999,A,700,244650,0
1000,D,700,187366,407
AVG,AVG,700,49027.8,2715.8
