Array_No,Type,Size,Comparisons,Swaps
915,S,838,13702,7395
916,S,838,13755,7438
917,S,838,13729,7384
918,S,838,13735,7415
919,A,838,14348,7931
920,D,838,13011,6775
AVG,AVG,838,13721.1,7403.6
921,S,76,716,410
922,S,76,720,414
923,S,76,720,409
924,S,76,720,411
925,S,76,731,419
926,S,76,723,423
927,S,76,722,412
928,S,76,730,414
929,A,76,760,452
930,D,76,656,359
AVG,AVG,76,719.8,412.3
931,S,770,12387,6695
932,S,770,12469,6761
933,S,770,12453,6721
934,S,770,12434,6738
935,S,770,12416,6681
936,S,770,12436,6712
937,S,770,12402,6688
938,S,770,12429,6726
939,A,770,13021,7200
940,D,770,11746,6109
AVG,AVG,770,12419.3,6703.1
941,S,641,9983,5408
942,S,641,9999,5433
943,S,641,10016,5422
944,S,641,9989,5391
945,S,641,10001,5427
946,S,641,9953,5380
947,S,641,10016,5426
948,S,641,9994,5406
949,A,641,10487,5823
950,D,641,9445,4961
AVG,AVG,641,9988.3,5407.7
951,S,875,14431,7779
952,S,875,14399,7754
953,S,875,14411,7784
954,S,875,14460,7808
955,S,875,14410,7758
956,S,875,14423,7802
957,S,875,14501,7830
958,S,875,14447,7791
959,A,875,15096,8314
960,D,875,13682,7149
AVG,AVG,875,14426,7776.9
961,S,886,14599,7889
962,S,886,14655,7911
963,S,886,14639,7869
964,S,886,14695,7902
965,S,886,14597,7870
966,S,886,14656,7906
967,S,886,14715,7920
968,S,886,14661,7905
969,A,886,15302,8435
970,D,886,13894,7239
AVG,AVG,886,14641.3,7884.6
971,S,322,4388,2399
972,S,322,4387,2422
973,S,322,4371,2391
974,S,322,4400,2422
975,S,322,4373,2415
976,S,322,4418,2422
977,S,322,4370,2397
978,S,322,4395,2413
979,A,322,4611,2612
980,D,322,4099,2171
AVG,AVG,322,4381.2,2406.4
981,S,736,11833,6404
982,S,736,11758,6360
983,S,736,11786,6374
984,S,736,11807,6374
985,S,736,11801,6391
986,S,736,11805,6380
987,S,736,11815,6372
988,S,736,11797,6371
989,A,736,12354,6829
990,D,736,11125,5821
AVG,AVG,736,11788.1,6367.6
991,S,700,11118,5999
992,S,700,11096,6018
993,S,700,11151,6037
994,S,700,11100,5999
995,S,700,11136,6035
996,S,700,11106,6019
997,S,700,11120,6011
998,S,700,11141,6041
999,A,700,11652,6467
1000,D,700,10510,5499
AVG,AVG,700,11113,6012.5
