Array_No,Type,Size,Passes,Comparisons,Shifts
591,S,464,463,52614,52157
592,S,464,463,50932,50474
593,S,464,463,52531,52074
594,S,464,463,52935,52476
595,S,464,463,56855,56397
596,S,464,463,56471,56014
597,S,464,463,54226,53767
598,S,464,463,53271,52816
599,A,464,463,463,0
600,D,464,463,107407,107317
AVG,AVG,464,463,53770.5,53349.2
601,S,231,230,14763,14541
602,S,231,230,12443,12216
603,S,231,230,13563,13338
604,S,231,230,12865,12642
605,S,231,230,13522,13298
606,S,231,230,13825,13604
607,S,231,230,13285,13060
608,S,231,230,14090,13864
609,A,231,230,230,0
610,D,231,230,26560,26541
AVG,AVG,231,230,13514.6,13310.4
611,S,688,687,120277,119594
612,S,688,687,123555,122875
613,S,688,687,117186,116508
614,S,688,687,114800,114120
615,S,688,687,118303,117623
616,S,688,687,117957,117275
617,S,688,687,122157,121474
618,S,688,687,119655,118972
619,A,688,687,687,0
620,D,688,687,236287,236108
AVG,AVG,688,687,119086,118455
621,S,324,323,25044,24727
622,S,324,323,28444,28129
623,S,324,323,25227,24912
624,S,324,323,26407,26093
625,S,324,323,27092,26775
626,S,324,323,25324,25006
627,S,324,323,28040,27724
628,S,324,323,26007,25690
629,A,324,323,323,0
630,D,324,323,52320,52270
AVG,AVG,324,323,26422.8,26132.6
631,S,965,964,236891,235933
632,S,965,964,230019,229059
633,S,965,964,228356,227398
634,S,965,964,230685,229729
635,S,965,964,232414,231457
636,S,965,964,239414,238456
637,S,965,964,241817,240858
638,S,965,964,228109,227153
639,A,965,964,964,0
640,D,965,964,465021,464674
AVG,AVG,965,964,233369,232472
641,S,649,648,106038,105392
642,S,649,648,104446,103805
643,S,649,648,110430,109789
644,S,649,648,101681,101040
645,S,649,648,108487,107840
646,S,649,648,114013,113375
647,S,649,648,102940,102299
648,S,649,648,105881,105238
649,A,649,648,648,0
650,D,649,648,210235,210060
AVG,AVG,649,648,106480,105884
651,S,254,253,15717,15468
652,S,254,253,16275,16027
653,S,254,253,16861,16613
654,S,254,253,16117,15868
655,S,254,253,16528,16279
656,S,254,253,16213,15965
657,S,254,253,15916,15669
658,S,254,253,16428,16182
659,A,254,253,253,0
660,D,254,253,32129,32103
AVG,AVG,254,253,16243.7,16017.4
661,S,251,250,16017,15773
662,S,251,250,15499,15254
663,S,251,250,17509,17265
664,S,251,250,15988,15744
665,S,251,250,14803,14556
666,S,251,250,16456,16209
667,S,251,250,15594,15349
668,S,251,250,14700,14451
669,A,251,250,250,0
670,D,251,250,31370,31338
AVG,AVG,251,250,15818.6,15593.9
671,S,999,998,252064,251070
672,S,999,998,250385,249391
673,S,999,998,243901,242908
674,S,999,998,260135,259147
675,S,999,998,254253,253259
676,S,999,998,249215,248226
677,S,999,998,246316,245323
678,S,999,998,256019,255029
679,A,999,998,998,0
680,D,999,998,498360,497971
AVG,AVG,999,998,251165,250232
681,S,265,264,17275,17017
682,S,265,264,18531,18273
683,S,265,264,18763,18505
684,S,265,264,18022,17760
685,S,265,264,18756,18498
686,S,265,264,17409,17150
687,S,265,264,18037,17779
688,S,265,264,17575,17316
689,A,265,264,264,0
690,D,265,264,34977,34942
AVG,AVG,265,264,17960.9,17724
691,S,906,905,200835,199937
692,S,906,905,210422,209521
693,S,906,905,201452,200554
694,S,906,905,201622,200721
695,S,906,905,212610,211710
696,S,906,905,206920,206020
697,S,906,905,200771,199867
698,S,906,905,212580,211681
699,A,906,905,905,0
700,D,906,905,409877,409581
AVG,AVG,906,905,205799,204959
701,S,575,574,82957,82387
702,S,575,574,81683,81114
703,S,575,574,81999,81434
704,S,575,574,84206,83634
705,S,575,574,85638,85067
706,S,575,574,78182,77613
707,S,575,574,80207,79639
708,S,575,574,81830,81259
709,A,575,574,574,0
710,D,575,574,164994,164850
AVG,AVG,575,574,82227,81699.7
711,S,944,943,233748,232809
712,S,944,943,224681,223741
713,S,944,943,222345,221408
714,S,944,943,217278,216341
715,S,944,943,226510,225570
716,S,944,943,230541,229608
717,S,944,943,225567,224628
718,S,944,943,215719,214780
719,A,944,943,943,0
720,D,944,943,444996,444670
AVG,AVG,944,943,224233,223356
721,S,848,847,182707,181865
722,S,848,847,176529,175687
723,S,848,847,175482,174640
724,S,848,847,185368,184528
725,S,848,847,178095,177258
726,S,848,847,174940,174099
727,S,848,847,179978,179134
728,S,848,847,189104,188260
729,A,848,847,847,0
730,D,848,847,359014,358725
AVG,AVG,848,847,180206,179420
731,S,527,526,72958,72438
732,S,527,526,68842,68321
733,S,527,526,71127,70606
734,S,527,526,66246,65725
735,S,527,526,71025,70503
736,S,527,526,67296,66773
737,S,527,526,69721,69201
738,S,527,526,70713,70193
739,A,527,526,526,0
740,D,527,526,138583,138465
AVG,AVG,527,526,69703.7,69222.5
741,S,753,752,140588,139840
742,S,753,752,141975,141227
743,S,753,752,138920,138170
744,S,753,752,140274,139528
745,S,753,752,137176,136430
746,S,753,752,144708,143962
747,S,753,752,149064,148316
748,S,753,752,141167,140418
749,A,753,752,752,0
750,D,753,752,283052,282818
AVG,AVG,753,752,141768,141071
751,S,656,655,110723,110074
752,S,656,655,109483,108838
753,S,656,655,107001,106351
754,S,656,655,112307,111655
755,S,656,655,107443,106796
756,S,656,655,107602,106956
757,S,656,655,108909,108258
758,S,656,655,109213,108568
759,A,656,655,655,0
760,D,656,655,214804,214633
AVG,AVG,656,655,108814,108213
761,S,812,811,161003,160199
762,S,812,811,165711,164903
763,S,812,811,168768,167964
764,S,812,811,164588,163783
765,S,812,811,163608,162807
766,S,812,811,166439,165638
767,S,812,811,168506,167705
768,S,812,811,158218,157414
769,A,812,811,811,0
770,D,812,811,329203,328964
AVG,AVG,812,811,164686,163938
771,S,517,516,68934,68421
772,S,517,516,68953,68443
773,S,517,516,64903,64392
774,S,517,516,66051,65538
775,S,517,516,70173,69663
776,S,517,516,69818,69309
777,S,517,516,65766,65256
778,S,517,516,64247,63736
779,A,517,516,516,0
780,D,517,516,133360,133243
AVG,AVG,517,516,67272.1,66800.1
781,S,687,686,116478,115794
782,S,687,686,120348,119667
783,S,687,686,116438,115758
784,S,687,686,121372,120694
785,S,687,686,117996,117320
786,S,687,686,120456,119774
787,S,687,686,113782,113105
788,S,687,686,121304,120623
789,A,687,686,686,0
790,D,687,686,235597,235406
AVG,AVG,687,686,118446,117814
791,S,123,122,4033,3916
792,S,123,122,3669,3549
793,S,123,122,4029,3912
794,S,123,122,3942,3828
795,S,123,122,3577,3458
796,S,123,122,3571,3453
797,S,123,122,3707,3588
798,S,123,122,3856,3739
799,A,123,122,122,0
800,D,123,122,7503,7496
AVG,AVG,123,122,3800.9,3693.9
801,S,367,366,35131,34770
802,S,367,366,33648,33288
803,S,367,366,34260,33898
804,S,367,366,35623,35268
805,S,367,366,34535,34173
806,S,367,366,33342,32981
807,S,367,366,33669,33309
808,S,367,366,32459,32102
809,A,367,366,366,0
810,D,367,366,67149,67083
AVG,AVG,367,366,34018.2,33687.2
811,S,103,102,2628,2531
812,S,103,102,2692,2592
813,S,103,102,2897,2795
814,S,103,102,2542,2446
815,S,103,102,2635,2539
816,S,103,102,2786,2689
817,S,103,102,2816,2721
818,S,103,102,2834,2733
819,A,103,102,102,0
820,D,103,102,5252,5245
AVG,AVG,103,102,2718.4,2629.1
821,S,204,203,11194,10996
822,S,204,203,10489,10290
823,S,204,203,10400,10201
824,S,204,203,10377,10178
825,S,204,203,10873,10676
826,S,204,203,10952,10756
827,S,204,203,9871,9672
828,S,204,203,10666,10470
829,A,204,203,203,0
830,D,204,203,20706,20688
AVG,AVG,204,203,10573.1,10392.7
831,S,633,632,102125,101498
832,S,633,632,101863,101239
833,S,633,632,97702,97078
834,S,633,632,98904,98279
835,S,633,632,104072,103443
836,S,633,632,101031,100409
837,S,633,632,99460,98840
838,S,633,632,104155,103531
839,A,633,632,632,0
840,D,633,632,199999,199837
AVG,AVG,633,632,100994,100415
841,S,507,506,65043,64542
842,S,507,506,64622,64122
843,S,507,506,65728,65225
844,S,507,506,63443,62944
845,S,507,506,63702,63200
846,S,507,506,64344,63844
847,S,507,506,64208,63704
848,S,507,506,64102,63600
849,A,507,506,506,0
850,D,507,506,128244,128125
AVG,AVG,507,506,64394.2,63930.6
851,S,206,205,10687,10485
852,S,206,205,9918,9716
853,S,206,205,11181,10982
854,S,206,205,10899,10700
855,S,206,205,11148,10949
856,S,206,205,9938,9740
857,S,206,205,11036,10837
858,S,206,205,10672,10476
859,A,206,205,205,0
860,D,206,205,21115,21097
AVG,AVG,206,205,10679.9,10498.2
861,S,541,540,73172,72637
862,S,541,540,67485,66952
863,S,541,540,75499,74966
864,S,541,540,72577,72042
865,S,541,540,71337,70802
866,S,541,540,71289,70753
867,S,541,540,74585,74054
868,S,541,540,73129,72597
869,A,541,540,540,0
870,D,541,540,146045,145921
AVG,AVG,541,540,72565.8,72072.4
871,S,638,637,95622,94990
872,S,638,637,102285,101656
873,S,638,637,103800,103165
874,S,638,637,104562,103928
875,S,638,637,101099,100464
876,S,638,637,104066,103432
877,S,638,637,105305,104676
878,S,638,637,103246,102615
